
"Nomination of CDOT as the agency under the Telecommunications Telecom Cyber Security Amendment Rules, 2025",21.11.2025,https://dot.gov.in/sites/default/files/Designating%20CDOT%20under%20the%20Telecom%20Cyber%20Rules.pdf?download=1
"Extension of deputation period of Shri Naresh Kumar, P&T BWS Gr - A Staff No 96579, Superintending Engineer - Electrical, DDA",21.11.2025,https://dot.gov.in/sites/default/files/Extension%20of%20deputation%20period%20of%20Shri%20Naresh%20Kumar%20dated%2021-11-2025.pdf?download=1
Award of Book Award to the wards of DoT employees for the Academic Year 2023-24-regd,19.11.2025,https://dot.gov.in/sites/default/files/Book%20Award%20English.pdf?download=1
Citizen Outreach Programs for EMF Awareness on 19.11.2025,18.11.2025,https://dot.gov.in/sites/default/files/Brochure_EMF%20Aawareness_Sanchar%20Mitras_ver6.pdf?download=1
"Central Government Employees Group Insurance Scheme 1980, Tables of Benefits for the saving fund for the period from 01.10.2025 to 31.12.2025",18.11.2025,https://dot.gov.in/sites/default/files/Circular%20253%20CGEGIS.pdf?download=1
Award of Scholarship to the wards of DoT employees for the Academic year 2023-24-reg,17.11.2025,https://dot.gov.in/sites/default/files/Scholarship-English.pdf?download=1
Brochure for ITU council & Revathi WTDC 2025,17.11.2025,https://dot.gov.in/sites/default/files/Brochure%20for%20ITU%20council%20%20Revathi%20WTDC%202025%28A5%20size%29%20_for%20uploading.pdf?download=1
Award of Incentive to the wards of DoT employees for the Academic year 2023-24,17.11.2025,https://dot.gov.in/sites/default/files/Incentive-English.pdf?download=1
Transfer & Posting of officers in the grade of SAG of ITS Group A,12.11.2025,https://dot.gov.in/sites/default/files/Transfer%20%26%20Posting%20of%20officers%20in%20the%20grade%20of%20SAG%20of%20ITS%20Group%20A.pdf?download=1
Regular promotion and posting in SAG of ITS Group A-reg.,12.11.2025,https://dot.gov.in/sites/default/files/SAG%20Promotion%20order%20dated%2012-11-2025_0.pdf?download=1
"Entrustment of additional charge of the post of Director Planning, BBNL",11.11.2025,https://dot.gov.in/sites/default/files/SKMBT_36325111003342.pdf?download=1
Selection for the post of Director Consumer Mobility Bharat Sanchar Nigam Limited,11.11.2025,https://dot.gov.in/sites/default/files/BSNL-AVDT-JD%20%281%29.pdf?download=1
"Conditions for grant of additional pension/family pension to the retired central Government civil Employees/Family pensioners covered under central civil services Pension Rules, 2021- reg",10.11.2025,https://dot.gov.in/sites/default/files/OM%20-%202.pdf?download=1
Clarification regarding Enhanced Rate of Family Pension : Death after Retirement cases reg,10.11.2025,https://dot.gov.in/sites/default/files/OM%20-%201.pdf?download=1
Conditions for grant of additional pension/family pension to the retired central Government civil Employees/Family pensioners,07.11.2025,https://dot.gov.in/sites/default/files/OM-2-PSA-07112025.pdf?download=1
Regular promotion and posting in HAG plus of ITS Group A - Advisor-reg,06.11.2025,https://dot.gov.in/sites/default/files/HAG%2B%20Promotion_GOVIND%20KEWLANI.pdf?download=1

"List of the officers of the level of Under Secretary equivalent and above to attend the Republic Day Celebration, 2026  reg.",03.12.2025,https://dot.gov.in/sites/default/files/Invitation%20to%20attend%20the%20Republic%20Day%20Ceremony.pdf?download=1
Additional charge of the post of Member Services in DCC,02.12.2025,https://dot.gov.in/sites/default/files/Member%20%28S%29.pdf?download=1
Additional charge of the post of Member Technology in DCC,02.12.2025,https://dot.gov.in/sites/default/files/Member%20%28T%29.pdf?download=1
"Draft Use of Short Range Automotive Radar System in the 77 to 81 GHz band Exemption from Assignment Requirement Rules, 2025",01.12.2025,https://dot.gov.in/sites/default/files/Gazette%20Notification%20-%20Draft%2077-81%20GHz%20Delicensing%20Rules.pdf?download=1
Additional charge of the post of Director Finance MTNL,01.12.2025,https://dot.gov.in/sites/default/files/Director%20%28Finance%29%20MTNL.pdf?download=1
Additional charge of the post of Director Finance BBNL,01.12.2025,https://dot.gov.in/sites/default/files/Director%20%28Finance%29%20BBNL.pdf?download=1
"Draft Telecommunications Sharing, Trading and Leasing of Spectrum Rules, 2025",01.12.2025,https://dot.gov.in/sites/default/files/Gazette%20Notification%20-%20Draft%20Spectrum%20Sharing%20Trading%20Leasing%20Rules.pdf?download=1
Transfer and Posting of SAG Level officers of ITS Group A,28.11.2025,https://dot.gov.in/sites/default/files/Transfer%20%26%20Posting%20in%20SAG%20Grade.pdf?download=1
Second Cadre Review of Indian Posts & Telecommunications Accounts and Finance Service Gr. A- Implementation of Cabinet Decision,24.11.2025,https://dot.gov.in/sites/default/files/second%20cadre%20review%20IPTAFS.pdf?download=1
"Nomination of CDOT as the agency under the Telecommunications Telecom Cyber Security Amendment Rules, 2025",21.11.2025,https://dot.gov.in/sites/default/files/Designating%20CDOT%20under%20the%20Telecom%20Cyber%20Rules.pdf?download=1
"Extension of deputation period of Shri Naresh Kumar, P&T BWS Gr - A Staff No 96579, Superintending Engineer - Electrical, DDA",21.11.2025,https://dot.gov.in/sites/default/files/Extension%20of%20deputation%20period%20of%20Shri%20Naresh%20Kumar%20dated%2021-11-2025.pdf?download=1
Award of Book Award to the wards of DoT employees for the Academic Year 2023-24-regd,19.11.2025,https://dot.gov.in/sites/default/files/Book%20Award%20English.pdf?download=1
Citizen Outreach Programs for EMF Awareness on 19.11.2025,18.11.2025,https://dot.gov.in/sites/default/files/Brochure_EMF%20Aawareness_Sanchar%20Mitras_ver6.pdf?download=1
"Central Government Employees Group Insurance Scheme 1980, Tables of Benefits for the saving fund for the period from 01.10.2025 to 31.12.2025",18.11.2025,https://dot.gov.in/sites/default/files/Circular%20253%20CGEGIS.pdf?download=1
