title,publish_date,pdf_url,pdf_filename
Empanelment of Indian Telecommunications Service  Group A Batch 1999 Exam year 1998 for the posts of Joint Secretary equivalent at the Centre.,11.12.2025,https://dot.gov.in/sites/default/files/OM_JS%20Empanelment_1999%20Batch%20for%20Representation%20if%20any.pdf?download=1,OM_JS_Empanelment_1999_Batch_for_Representation_if_any.pdf
Empanelment of ITS 1999 Batch for the posts of Joint Secretary equivalent at the Centre regarding,11.12.2025,https://dot.gov.in/sites/default/files/OM_JS%20Empanelment_1999%20Batch_2.pdf?download=1,OM_JS_Empanelment_1999_Batch_2.pdf
Refusal of Promotion in SAG of ITS Group A by Shri Jasvir Singh Panesar,11.12.2025,https://dot.gov.in/sites/default/files/Refusal%20Jasvir%20Singh%20Panesar.pdf?download=1,Refusal_Jasvir_Singh_Panesar.pdf
Refusal of Promotion in SAG of ITS Group A by Shri Brajesh Kumar,11.12.2025,https://dot.gov.in/sites/default/files/Refusal%20Brajesh%20Kumar.pdf?download=1,Refusal_Brajesh_Kumar.pdf
Submission of Annual Immovable Property Return by the officers of ITS Group A and TES Group B for the year ending 2025 through the SPARROW portal-reg.,10.12.2025,https://dot.gov.in/sites/default/files/OM%20on%20Annual%20IPR%20for%20the%20year%20ending%202025.pdf?download=1,OM_on_Annual_IPR_for_the_year_ending_2025.pdf
"Notice Inviting Tender for old Newspaper/Magazines/waste Paper, Carton Empty Box, empty plastic water bottles, and other plastic wastes in DoT - HQ",10.12.2025,https://dot.gov.in/sites/default/files/Tender%20Documents%20for%20old%20%20News%20papers.pdf?download=1,Tender_Documents_for_old_News_papers.pdf
Gazette Notification of the Telecom e-Services Portal including the CBuD Mobile App as the portal,09.12.2025,https://dot.gov.in/sites/default/files/DoT%20e-services%20CBuD%20Notification.pdf?download=1,DoT_e-services_CBuD_Notification.pdf
"Grant of Scholarship, Hostel subsidy, Transport Charges and lump sum grant to differently abled wards of the employees of DoT for the Academic year 2024-25",05.12.2025,https://dot.gov.in/sites/default/files/Grant%20of%20Scholarship%20to%20differently%20abled%20wards.pdf?download=1,Grant_of_Scholarship_to_differently_abled_wards.pdf
Grant of Incentive to meritorious wards of DoT employees for the Academic year 2024-25,05.12.2025,https://dot.gov.in/sites/default/files/Incentive%20Circular%202024-25%20Updated.pdf?download=1,Incentive_Circular_2024-25_Updated.pdf
Grant of Scholarship to the meritorious wards of DoT employees for the Academic year 2024-25,05.12.2025,https://dot.gov.in/sites/default/files/Scholarship-Revised-24-25.pdf?download=1,Scholarship-Revised-24-25.pdf
Grant of Book Award to meritorious school going children of the employees of DoT for the Academic Year 2024-2025,04.12.2025,https://dot.gov.in/sites/default/files/BOOK%20AWARD%20Circular%202024-25%20Updated.pdf?download=1,BOOK_AWARD_Circular_2024-25_Updated.pdf
Local officiating arrangement to the grade of STS of ITS Gr A,04.12.2025,https://dot.gov.in/sites/default/files/Local%20officiating.pdf?download=1,Local_officiating.pdf
Termination of officiating i.r.o. Shri Saurav Kumar Singh,04.12.2025,https://dot.gov.in/sites/default/files/document-122.pdf?download=1,document-122.pdf
"List of the officers of the level of Under Secretary equivalent and above to attend the Republic Day Celebration, 2026  reg.",03.12.2025,https://dot.gov.in/sites/default/files/Invitation%20to%20attend%20the%20Republic%20Day%20Ceremony.pdf?download=1,Invitation_to_attend_the_Republic_Day_Ceremony.pdf
Webinar on Blockchain Technology and Its Applications,03.12.2025,https://dot.gov.in/sites/default/files/Blockchain%20Technology%20and%20its%20Applications%20%281%29.pdf?download=1,Blockchain_Technology_and_its_Applications_1.pdf
Webinar on Advancements in Optical Fibre Technologies,03.12.2025,https://dot.gov.in/sites/default/files/Webinar%20Brochure.pdf?download=1,Webinar_Brochure.pdf
Additional charge of the post of Member Services in DCC,02.12.2025,https://dot.gov.in/sites/default/files/Member%20%28S%29.pdf?download=1,Member_S.pdf
Additional charge of the post of Member Technology in DCC,02.12.2025,https://dot.gov.in/sites/default/files/Member%20%28T%29.pdf?download=1,Member_T.pdf
Additional charge of the post of Director Finance MTNL,01.12.2025,https://dot.gov.in/sites/default/files/Director%20%28Finance%29%20MTNL.pdf?download=1,Director_Finance_MTNL.pdf
Additional charge of the post of Director Finance BBNL,01.12.2025,https://dot.gov.in/sites/default/files/Director%20%28Finance%29%20BBNL.pdf?download=1,Director_Finance_BBNL.pdf
"Draft Use of Short Range Automotive Radar System in the 77 to 81 GHz band Exemption from Assignment Requirement Rules, 2025",01.12.2025,https://dot.gov.in/sites/default/files/Gazette%20Notification%20-%20Draft%2077-81%20GHz%20Delicensing%20Rules.pdf?download=1,Gazette_Notification_-_Draft_77-81_GHz_Delicensing_Rules.pdf
"Draft Telecommunications Sharing, Trading and Leasing of Spectrum Rules, 2025",01.12.2025,https://dot.gov.in/sites/default/files/Gazette%20Notification%20-%20Draft%20Spectrum%20Sharing%20Trading%20Leasing%20Rules.pdf?download=1,Gazette_Notification_-_Draft_Spectrum_Sharing_Trading_Leasing_Rules.pdf
Transfer and Posting of SAG Level officers of ITS Group A,28.11.2025,https://dot.gov.in/sites/default/files/Transfer%20%26%20Posting%20in%20SAG%20Grade.pdf?download=1,Transfer__Posting_in_SAG_Grade.pdf
